loan_status,annual_inc,delinq_2yrs,dti,emp_length,int_rate,revol_bal,total_acc,funded_amnt,total_pymnt,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months
1.000000000000000000e+00,4.217959231693127475e-01,-3.088536888778334322e-01,1.699915548422211986e-01,1.000000000000000000e+00,1.183000000000000024e-01,7.115965386794130820e-01,1.053504462481239079e+00,1.259569063037741632e+00,1.291100646189510481e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.780563933187055081e-01,-3.088536888778334322e-01,-9.125577502930091178e-01,1.000000000000000000e+00,6.919999999999999762e-02,-8.401626987644301714e-01,-7.104045472611405510e-01,-1.041774149491635937e+00,-9.295498866312533748e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.185499657410544527e-02,-3.088536888778334322e-01,-6.292459486735962892e-01,3.000000000000000000e+00,6.990000000000000380e-02,-5.636933696047427000e-01,-6.222090967740215861e-01,-4.040525363810854587e-01,-4.459596434888370986e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-4.480755921752631599e-01,-3.088536888778334322e-01,1.236138597778432491e+00,1.000000000000000000e+00,1.252999999999999947e-01,1.177759800110174809e-01,1.053504462481239079e+00,7.050285298981326942e-01,5.094616888908782837e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.077982551562714608e+00,-3.088536888778334322e-01,5.412791264381883183e-01,1.000000000000000000e+00,8.490000000000000324e-02,-6.894067783349628886e-01,-1.415968151158092381e+00,-8.546167195570177899e-01,-7.478344730171762045e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.381213740639774812e-01,-3.088536888778334322e-01,5.084746020401512689e-01,5.000000000000000000e+00,1.298999999999999877e-01,1.759372134325187520e-01,-1.415968151158092381e+00,5.663933966132304043e-01,6.127650604875628515e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.217663864669163987e-01,-3.088536888778334322e-01,-5.934591947848283366e-01,6.000000000000000000e+00,6.169999999999999790e-02,-3.991640677406896320e-01,1.053504462481239079e+00,1.259569063037741632e+00,1.021045959542814296e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.817575254561974996e-01,1.702600335469067971e+00,-3.086562784200501675e-01,7.000000000000000000e+00,1.598999999999999866e-01,-6.028222941348162500e-01,-2.694272948255456157e-01,5.663933966132304043e-01,5.085830148865320144e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.417782011478748938e-01,1.702600335469067971e+00,-1.971249219502394068e+00,1.000000000000000000e+00,7.900000000000000078e-02,-8.419156745833774602e-01,-7.104045472611405510e-01,-1.097228202805596853e+00,-9.650937206886035513e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.217959231693127475e-01,-3.088536888778334322e-01,-1.983137872630156284e-01,3.000000000000000000e+00,1.322000000000000119e-01,-3.752484690679087076e-01,-4.840943364188693421e-03,-1.069501176148616395e+00,-9.075173829212943577e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
